Trigram,Frequency
  ' a,13271
"r ' ,",14083
i n g,14754
"n ' ,",14793
n g ',15249
"g ' ,",15636
"y ' ,",16837
"d ' ,",16935
"t ' ,",17833
  ' c,18979
"s ' ,",20714
  ' s,25731
"e ' ,",40229
"' ,  ",204050
",   '",204050
